Crash ID,State,Month,Year,Dayweek,Time,Crash Type,Number of Fatalities,Bus Involvement,Heavy Rigid Truck Involvement,Articulated Truck Involvement,Speed Limit,National Remoteness Areas,SA4 Name 2021,National LGA NAme 2021,National Road Type,Christmas Period,Easter Period,Day of week,Time of Day,Road User,Gender,Age,Age Group
20163098,Qld,9,2016,Thursday,18:00:00,Multiple,1,No,No,No,60,,,,,No,No,Weekday,Night,Motorcycle rider,Male,23,17_to_25
20165102,WA,9,2016,Tuesday,20:00:00,Single,1,No,No,No,110,Very Remote Australia,Western Australia - Outback (North),East Pilbara,ARTERIAL ROAD,No,No,Weekday,Night,Driver,Male,20,17_to_25
20165109,WA,9,2016,Friday,15:40:00,Multiple,1,No,Yes,No,60,Major Cities of Australia,Perth - South East,Armadale,NATIONAL OR STATE HIGHWAY,No,No,Weekday,Day,Driver,Male,65,65_to_74
20161092,NSW,9,2016,Friday,06:15:00,Multiple,1,No,No,No,50,Major Cities of Australia,Sydney - Inner South West,Canterbury-Bankstown,Local Road,No,No,Weekday,Day,Driver,Female,68,65_to_74
20165010,WA,9,2016,Wednesday,16:00:00,Single,1,No,No,No,100,Inner Regional Australia,Perth - South East,Serpentine-Jarrahdale,LOCAL ROAD,No,No,Weekday,Day,Motorcycle rider,Female,41,40_to_64
20162209,Vic,9,2016,Friday,16:25:00,Multiple,1,No,No,No,80,Inner Regional Australia,Shepparton,Greater Shepparton,National or State Highway,No,No,Weekday,Day,Driver,Male,85,75_or_older
20164031,SA,9,2016,Friday,10:05:00,Single,1,No,No,No,110,Inner Regional Australia,Adelaide - North,Playford,National or State Highway,No,No,Weekday,Day,Passenger,Female,12,0_to_16
20163185,Qld,9,2016,Wednesday,16:00:00,Multiple,1,No,No,No,70,,,,,No,No,Weekday,Day,Driver,Male,88,75_or_older
20163075,Qld,9,2016,Friday,16:00:00,Single,1,No,No,No,100,,,,,No,No,Weekday,Day,Driver,Male,35,26_to_39
20161279,NSW,9,2016,Monday,07:05:00,Single,1,No,No,No,110,Outer Regional Australia,Far West and Orana,Narromine,National or State Highway,No,No,Weekday,Day,Driver,Female,71,65_to_74
20161247,NSW,9,2016,Friday,17:15:00,Multiple,1,No,No,No,50,Major Cities of Australia,Sydney - Northern Beaches,Northern Beaches,Collector Road,No,No,Weekday,Day,Motorcycle rider,Male,50,40_to_64
20161003,NSW,9,2016,Monday,10:30:00,Multiple,2,No,Yes,No,100,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,No,No,Weekday,Day,Driver,Male,72,65_to_74
20161003,NSW,9,2016,Monday,10:30:00,Multiple,2,No,Yes,No,100,Inner Regional Australia,Coffs Harbour - Grafton,Clarence Valley,National or State Highway,No,No,Weekday,Day,Passenger,Female,75,75_or_older
20168009,ACT,9,2016,Friday,08:30:00,Multiple,1,No,No,No,70,Major Cities of Australia,Australian Capital Territory,Unincorporated ACT,Collector Road,No,No,Weekday,Day,Motorcycle rider,Male,20,17_to_25
